 Year,Month,Rainfall,Temperature
1943,1,142.932,8.7041
1943,2,56.7036,8.88154
1943,3,131.803,10.9852
1943,4,78.1352,15.0059
1943,5,25.382,17.4867
1943,6,4.81446,21.3511
1943,7,24.744,21.2932
1943,8,3.81483,23.1387
1943,9,94.6804,18.6655
1943,10,82.7677,15.3161
1943,11,22.5705,10.1209
1943,12,98.9794,8.38435
1944,1,10.7009,7.39245
1944,2,44.0326,7.1989
1944,3,44.5364,10.7161
1944,4,81.1554,14.5134
1944,5,24.9279,17.0759
1944,6,37.7728,19.9402
1944,7,13.7612,21.5952
1944,8,31.3614,22.0117
1944,9,45.4107,19.6879
1944,10,74.6191,13.9122
1944,11,60.6976,11.4232
1944,12,56.3425,7.74021
1945,1,87.9861,5.46067
1945,2,12.7696,9.78931
1945,3,33.0626,12.1001
1945,4,40.8206,15.7821
1945,5,34.3505,16.5271
1945,6,27.863,20.9235
1945,7,7.60041,21.8424
1945,8,9.67892,20.769
1945,9,3.94793,20.6786
1945,10,50.3504,17.2058
1945,11,147.919,13.0485
1945,12,176.744,9.96296
1946,1,66.6126,7.00944
1946,2,41.3171,9.51751
1946,3,131.352,10.509
1946,4,114.112,12.6473
1946,5,149.718,13.5213
1946,6,20.2403,18.8568
1946,7,1.96964,22.76
1946,8,9.56597,21.5806
1946,9,33.7877,19.7916
1946,10,62.3122,16.5803
1946,11,70.5002,11.7032
1946,12,68.8778,7.65374
1947,1,113.164,7.21873
1947,2,331.242,8.86385
1947,3,222.964,11.9489
1947,4,25.9257,14.6797
1947,5,46.9078,15.277
1947,6,18.8199,20.005
1947,7,5.11489,22.2549
1947,8,5.70895,22.0974
1947,9,40.6097,19.7772
1947,10,74.9121,16.8209
1947,11,57.6708,13.5311
1947,12,78.6423,7.92946
1948,1,204.965,9.51268
1948,2,114.176,9.96694
1948,3,42.3817,13.4317
1948,4,85.6497,12.8167
1948,5,113.559,14.9867
1948,6,4.14211,20.3739
1948,7,0.70982,21.3463
1948,8,14.0736,21.8496
1948,9,8.04995,20.3519
1948,10,59.979,16.3529
1948,11,14.9615,13.0098
1948,12,161.877,10.2711
1949,1,38.7722,8.42457
1949,2,16.1399,9.73057
1949,3,75.8379,10.7746
1949,4,50.1182,14.9819
